model,error_method,method,target,interval_score,dispersion,underprediction,overprediction,coverage_deviation,bias,ae_median,coverage_50,coverage_80
ar,absolute,expanding window,pcpi_pch,0.544143805887263,0.40505800777601,0.0187327616113466,0.120353036499906,0.0515306122448979,,,0.599489795918367,0.803571428571429
ar,absolute,leave-one-out,ngdp_rpch,0.801725662267933,0.442118085636018,0.0134718181859136,0.346135758446002,-0.0045918367346939,,,0.51530612244898,0.775510204081633
ar,absolute,leave-one-out,pcpi_pch,0.537566989374006,0.380123589277033,0.0185553147997262,0.138888085297247,0.0387755102040816,,,0.563775510204082,0.813775510204082
ar,absolute,rolling window,ngdp_rpch,0.822517879688046,0.39654926261143,0.0171521215227232,0.408816495553893,-0.0658163265306123,,,0.459183673469388,0.709183673469388
ar,absolute,rolling window,pcpi_pch,0.543634876570564,0.385491343033657,0.0227739733567825,0.135369560180124,0.0196428571428571,,,0.566326530612245,0.772959183673469
ar,directional,expanding window,ngdp_rpch,0.635195161107587,0.26188162350667,0.125530601616397,0.247782935984521,-0.105357142857143,,,0.408163265306122,0.681122448979592
ar,directional,expanding window,pcpi_pch,0.378106585907847,0.152651220797878,0.140311824088311,0.0851435410216586,-0.132142857142857,,,0.364795918367347,0.670918367346939
ar,directional,leave-one-out,ngdp_rpch,0.635206126145535,0.290059558571503,0.111801992033546,0.233344575540485,-0.0568877551020408,,,0.454081632653061,0.732142857142857
ar,directional,leave-one-out,pcpi_pch,0.355807050361371,0.167887369132875,0.099261586784307,0.0886580944441885,-0.0454081632653062,,,0.456632653061225,0.752551020408163
ar,directional,rolling window,ngdp_rpch,0.675998325297903,0.232504071236216,0.136538027013571,0.306956227048116,-0.170408163265306,,,0.336734693877551,0.622448979591837
ar,directional,rolling window,pcpi_pch,0.385362293107813,0.13288594720691,0.149269314536888,0.103207031364015,-0.193367346938776,,,0.313775510204082,0.599489795918367
bvar,absolute,expanding window,ngdp_rpch,0.708599330775357,0.360509422338835,0.0218737767873604,0.326216131649162,0.000510204081632631,,,0.535714285714286,0.76530612244898
bvar,absolute,expanding window,pcpi_pch,0.451858811730297,0.326186384673271,0.0415131506564811,0.0841592764005449,0.0515306122448979,,,0.604591836734694,0.798469387755102
bvar,absolute,leave-one-out,ngdp_rpch,0.706318958629857,0.367854157869713,0.0214130989259572,0.317051701834187,0.00816326530612243,,,0.530612244897959,0.785714285714286
bvar,absolute,leave-one-out,pcpi_pch,0.43788534943633,0.295866271967757,0.0390655733385266,0.102953504130047,0.047704081632653,,,0.576530612244898,0.818877551020408
bvar,absolute,rolling window,ngdp_rpch,0.728544900772915,0.319583283510292,0.0279962877124132,0.38096532955021,-0.0543367346938776,,,0.474489795918367,0.716836734693878
bvar,absolute,rolling window,pcpi_pch,0.446109276463042,0.292546304605476,0.0498967118415665,0.103666260016,0.00816326530612243,,,0.561224489795918,0.755102040816326
bvar,directional,expanding window,ngdp_rpch,0.63643320823273,0.271814608565429,0.141423664703544,0.223194934963756,-0.0951530612244898,,,0.426020408163265,0.683673469387755
bvar,directional,expanding window,pcpi_pch,0.424611323340439,0.167817678693116,0.193188604311693,0.0636050403356302,-0.138520408163265,,,0.372448979591837,0.650510204081633
bvar,directional,leave-one-out,ngdp_rpch,0.628336164837539,0.29835296561269,0.11838793066976,0.211595268555089,-0.0505102040816327,,,0.461734693877551,0.737244897959184
bvar,directional,leave-one-out,pcpi_pch,0.390201304406665,0.189644920371274,0.129428852318759,0.0711275317166325,-0.0301020408163266,,,0.477040816326531,0.762755102040816
bvar,directional,rolling window,ngdp_rpch,0.681171430347948,0.236884835019335,0.15185013925164,0.292436456076973,-0.148724489795918,,,0.364795918367347,0.637755102040816
bvar,directional,rolling window,pcpi_pch,0.41865019684453,0.141967563321191,0.187064599394298,0.0896180341290413,-0.206122448979592,,,0.306122448979592,0.581632653061225
